samplig_campaign,sampling_site,latitude,longitude,sampling_date,observed_wst_k,observaciones,climatic_season,sensor,image_date,time_window,absolute_time_window,c2_l1_dn_b10,c2_l1_dn_b11,c2_l2_dn_b10,gain_b10,bias_b10,gain_b11,bias_b11,ll_b10,ll_b11_1x1,k1_b10,k2_b10,k1_b11,k2_b11,tsat_b10,tsat_b11,c1,c2,lef_um,g,d,e_b10,e_b11,e_mean,e_delta,w,w_10,ps_1,ps_2,ps_3,b0_sw_d,b1_sw_d,b2_sw_d,b3_sw_d,b4_sw_d,b5_sw_d,b6_sw_d,b7_sw_d,b0_sw_m,b1_sw_m,b2_sw_m,b3_sw_m,b4_sw_m,b5_sw_m,b0_sw_g,b1_sw_g,b2_sw_g,b3_sw_g,b4_sw_g,b5_sw_g,b6_sw_g,b7_sw_g,wst_k_jm_sc,wst_k_sw_d,wst_k_sw_m,wst_k_sw_g,wst_k_c2_l2
1,15,-32.17928,-64.42706,2016-09-01,284.65,0,Invierno,TIRS-8,2016-08-30T00:00:00Z,-2,2,22612,21483,40326,3.342e-4,0.1,3.342e-4,0.1,7.656930399999999,7.279618599999999,774.8853,1321.0789,480.8883,1201.1442,285.5191200481803,285.6071986627778,119007106.22103888,14394.4756944,10.896,7.980251448435609,224.41489013300966,0.992,0.998,0.995,-0.006000000000000005,6.99,0.6990000000000001,1.0552497141900001,-1.0346104813299999,0.6804886371800001,-2.78009,1.01408,0.15833,-0.34991,4.04487,3.55414,-8.88394,0.09152,54.95,1.01,1.557,-57.805,0.147,-103.52,2.2925,0.9929,0.1545,-0.3122,3.7186,0.3502,-3.5889,0.1825,286.5225474219443,287.4559887814766,286.2794350271697,286.4267893291243,286.83507452000003
2,1,-32.19611,-64.41927,2017-03-10,298.25,0,Verano,TIRS-8,2017-03-10T00:00:00Z,0,0,25845,23833,43397,3.342e-4,0.1,3.342e-4,0.1,8.737399,8.0649886,774.8853,1321.0789,480.8883,1201.1442,293.8136827860465,292.62407896149494,119007106.22103888,14394.4756944,10.896,7.395431581180973,229.19684628406748,0.992,0.998,0.995,-0.006000000000000005,NA,NA,NA,NA,NA,-0.41165,1.00522,0.14543,-0.27297,4.06655,-6.92512,-18.27461,0.24468,67.297,0.985,-6.916,-63.855,9.548,-90.919,2.2925,0.9929,0.1545,-0.3122,3.7186,0.3502,-3.5889,0.1825,NA,297.8474266489983,296.7875121238915,296.6960487868802,297.33181393999996
2,2,-32.20142,-64.4316,2017-03-10,297.65,0,Verano,TIRS-8,2017-03-10T00:00:00Z,0,0,25868,23853,43416,3.342e-4,0.1,3.342e-4,0.1,8.7450856,8.0716726,774.8853,1321.0789,480.8883,1201.1442,293.8705142324569,292.68217383836287,119007106.22103888,14394.4756944,10.896,7.391717481728238,229.22931212372703,0.992,0.998,0.995,-0.006000000000000005,NA,NA,NA,NA,NA,-0.41165,1.00522,0.14543,-0.27297,4.06655,-6.92512,-18.27461,0.24468,67.297,0.985,-6.916,-63.855,9.548,-90.919,2.2925,0.9929,0.1545,-0.3122,3.7186,0.3502,-3.5889,0.1825,NA,297.9019748345455,296.8402260658116,296.75034505297214,297.39675632
2,3,-32.221,-64.44139,2017-03-10,297.95,0,Verano,TIRS-8,2017-03-10T00:00:00Z,0,0,25947,23869,43482,3.342e-4,0.1,3.342e-4,0.1,8.7714874,8.0770198,774.8853,1321.0789,480.8883,1201.1442,294.06550088976053,292.7286311346391,119007106.22103888,14394.4756944,10.896,7.379002827602184,229.3406705628836,0.992,0.998,0.995,-0.006000000000000005,NA,NA,NA,NA,NA,-0.41165,1.00522,0.14543,-0.27297,4.06655,-6.92512,-18.27461,0.24468,67.297,0.985,-6.916,-63.855,9.548,-90.919,2.2925,0.9929,0.1545,-0.3122,3.7186,0.3502,-3.5889,0.1825,NA,298.42302816694246,297.4161264097842,297.2168885429345,297.62234564
2,4,-32.22465,-64.49503,2017-03-10,298.25,0,Verano,TIRS-8,2017-03-10T00:00:00Z,0,0,26083,23997,43602,3.342e-4,0.1,3.342e-4,0.1,8.8169386,8.1197974,774.8853,1321.0789,480.8883,1201.1442,294.4003907382273,293.0996964276998,119007106.22103888,14394.4756944,10.896,7.3572671569865875,229.53181795128,0.992,0.998,0.995,-0.006000000000000005,NA,NA,NA,NA,NA,-0.41165,1.00522,0.14543,-0.27297,4.06655,-6.92512,-18.27461,0.24468,67.297,0.985,-6.916,-63.855,9.548,-90.919,2.2925,0.9929,0.1545,-0.3122,3.7186,0.3502,-3.5889,0.1825,NA,298.6804155808907,297.65250615607766,297.48320238135113,298.03250804
2,5,-32.24574,-64.49952,2017-03-10,298.15,0,Verano,TIRS-8,2017-03-10T00:00:00Z,0,0,25920,23871,43457,3.342e-4,0.1,3.342e-4,0.1,8.762464,8.0776882,774.8853,1321.0789,480.8883,1201.1442,293.9988976290367,292.7344371348874,119007106.22103888,14394.4756944,10.896,7.383340961674218,229.302638252641,0.992,0.998,0.995,-0.006000000000000005,NA,NA,NA,NA,NA,-0.41165,1.00522,0.14543,-0.27297,4.06655,-6.92512,-18.27461,0.24468,67.297,0.985,-6.916,-63.855,9.548,-90.919,2.2925,0.9929,0.1545,-0.3122,3.7186,0.3502,-3.5889,0.1825,NA,298.1963325446146,297.1633978412116,297.01676713688227,297.53689513999996
2,6,-32.25374,-64.50628,2017-03-10,297.04999999999995,0,Verano,TIRS-8,2017-03-10T00:00:00Z,0,0,25812,23868,43363,3.342e-4,0.1,3.342e-4,0.1,8.726370399999999,8.0766856,774.8853,1321.0789,480.8883,1201.1442,293.7320921006704,292.7257280377336,119007106.22103888,14394.4756944,10.896,7.400770292171534,229.1502292858654,0.992,0.998,0.995,-0.006000000000000005,NA,NA,NA,NA,NA,-0.41165,1.00522,0.14543,-0.27297,4.06655,-6.92512,-18.27461,0.24468,67.297,0.985,-6.916,-63.855,9.548,-90.919,2.2925,0.9929,0.1545,-0.3122,3.7186,0.3502,-3.5889,0.1825,NA,297.3795400528224,296.23360611244544,296.289745925384,297.21560125999997
2,7,-32.20953,-64.50716,2017-03-10,298.15,0,Verano,TIRS-8,2017-03-10T00:00:00Z,0,0,26188,24116,43696,3.342e-4,0.1,3.342e-4,0.1,8.8520296,8.1595672,774.8853,1321.0789,480.8883,1201.1442,294.65827212941724,293.44373123827455,119007106.22103888,14394.4756944,10.896,7.340616767129337,229.67891522453203,0.992,0.998,0.995,-0.006000000000000005,NA,NA,NA,NA,NA,-0.41165,1.00522,0.14543,-0.27297,4.06655,-6.92512,-18.27461,0.24468,67.297,0.985,-6.916,-63.855,9.548,-90.919,2.2925,0.9929,0.1545,-0.3122,3.7186,0.3502,-3.5889,0.1825,NA,298.75219590977895,297.6838764908204,297.5820819393646,298.35380192
2,8,-32.2026,-64.48828,2017-03-10,298.04999999999995,0,Verano,TIRS-8,2017-03-10T00:00:00Z,0,0,26058,23984,43617,3.342e-4,0.1,3.342e-4,0.1,8.808583599999999,8.1154528,774.8853,1321.0789,480.8883,1201.1442,294.33890414451594,293.0620580650053,119007106.22103888,14394.4756944,10.896,7.36124827372643,229.49673332504102,0.992,0.998,0.995,-0.006000000000000005,NA,NA,NA,NA,NA,-0.41165,1.00522,0.14543,-0.27297,4.06655,-6.92512,-18.27461,0.24468,67.297,0.985,-6.916,-63.855,9.548,-90.919,2.2925,0.9929,0.1545,-0.3122,3.7186,0.3502,-3.5889,0.1825,NA,298.56604006626725,297.53031183178433,297.37801995309593,298.08377834
2,9,-32.192,-64.49406,2017-03-10,298.15,0,Verano,TIRS-8,2017-03-10T00:00:00Z,0,0,26094,24015,43584,3.342e-4,0.1,3.342e-4,0.1,8.8206148,8.125812999999999,774.8853,1321.0789,480.8883,1201.1442,294.4274343073442,293.1517932455666,119007106.22103888,14394.4756944,10.896,7.355517511701127,229.54724768197406,0.992,0.998,0.995,-0.006000000000000005,NA,NA,NA,NA,NA,-0.41165,1.00522,0.14543,-0.27297,4.06655,-6.92512,-18.27461,0.24468,67.297,0.985,-6.916,-63.855,9.548,-90.919,2.2925,0.9929,0.1545,-0.3122,3.7186,0.3502,-3.5889,0.1825,NA,298.6526021236211,297.61439996304347,297.4639416427364,297.97098368
